"metacell","cell_type","top1_gene","top1_lfp","top2_gene","top2_lfp","color"
"M0.32","plasma","IGKC",13.4428120569638,"MZB1",7.95648905624162,"#0000FF"
"M1.30","MEP","SOX4",5.97742816406446,"RP11-620J15.3",5.88350782104987,"#DDA0DD"
"M2.31","MEP","PRSS57",5.83229672261395,"RP11-620J15.3",5.75964547701221,"#DDA0DD"
"M3.19","masBasP","CLC",11.0408351245431,"MS4A3",7.43394066315916,"#7A378B"
"M4.11","masBasP","TPSAB1",10.5336113797996,"TPSB2",10.3349633189785,"#7A378B"
"M5.28","(Missing)","PRSS57",6.86644808258451,"STMN1",5.56526340533671,NA
"M6.03","masBasP","CXCL12",12.1076713771584,"APOE",10.5823288252685,"#7A378B"
"M7.37","monP1","CST3",9.86957468717955,"LYZ",8.7153078178501,"#6E8B3D"
"M8.12","MK","PPBP",12.6959822898494,"PF4",11.9355632615792,"#FFC0CB"
"M9.62","MK","PDLIM1",6.70869376512427,"PLEK",6.65307942855863,"#FFC0CB"
"M10.96","MK","ITGA2B",6.18321044334399,"PDLIM1",6.1821690605193,"#FFC0CB"
"M11.21","MK","PPBP",11.9917264254318,"PF4",11.937579131235,"#FFC0CB"
"M12.90","MK","PPBP",8.05714609933238,"PF4",7.67826265462733,"#FFC0CB"
"M13.78","MK","PF4",11.0438625639752,"PPBP",10.4442429588439,"#FFC0CB"
"M14.41","plasma","IGKC",11.9195396974925,"MZB1",9.33379710968589,"#0000FF"
"M15.84","MPP","SPP1",6.25107174218719,"CST3",5.86865053281455,"#838B8B"
"M16.50","CD8","GNLY",9.5143196821332,"NKG7",8.81413217824641,"#FFA500"
"M17.27","CD8","GNLY",9.90116583006605,"NKG7",9.05518079955255,"#FFA500"
"M18.88","CD8","GNLY",9.81602507369104,"CCL5",8.95703122658366,"#FFA500"
"M19.21","NK","CCL5",9.30625521015298,"NKG7",9.09124992823852,"#8B4513"
"M20.33","CD8","NKG7",8.9094490523226,"CCL5",8.59772794020095,"#FFA500"
"M21.40","NK","GNLY",9.44656265068201,"CCL5",8.83207709679537,"#8B4513"
"M22.57","CD8","NKG7",9.62701646585878,"GNLY",9.36347370309947,"#FFA500"
"M23.88","CD8","NKG7",9.34233216719246,"CCL5",9.07775590202752,"#FFA500"
"M24.11","NK","KLRB1",8.64320230664278,"NKG7",7.7309458863572,"#8B4513"
"M25.94","NK","GNLY",10.6637712949591,"NKG7",9.73269466977373,"#8B4513"
"M26.93","CD8","GNLY",9.36250437614311,"NKG7",9.21820980987824,"#FFA500"
"M27.43","CD8","NKG7",9.23142992341218,"CCL5",9.02721923257347,"#FFA500"
"M28.67","CD8","GNLY",9.65716530873216,"NKG7",8.84024719700835,"#FFA500"
"M29.13","CD8","NKG7",9.57114572838725,"CCL5",9.22539411686308,"#FFA500"
"M30.38","CD8","NKG7",9.27438985316817,"GNLY",9.13382065603246,"#FFA500"
"M31.28","CD8","CCL5",8.83253423446772,"NKG7",8.76839721486997,"#FFA500"
"M32.45","CD8","NKG7",9.47212890800044,"CCL5",9.17561499103069,"#FFA500"
"M33.14","NK","GNLY",9.24315427761136,"CCL5",8.61348551337462,"#8B4513"
"M34.32","CD8","GNLY",9.32972073658329,"NKG7",9.09566726853365,"#FFA500"
"M35.89","CD8","GNLY",9.63695333877004,"NKG7",9.0618857632645,"#FFA500"
"M36.87","CD8","CCL5",8.83377766888629,"CMC1",8.39362392938081,"#FFA500"
"M37.02","CD8","GNLY",9.24230058552696,"NKG7",8.57177640258404,"#FFA500"
"M38.53","NK","GNLY",10.0493516210436,"NKG7",9.17056909286041,"#8B4513"
"M39.51","CD8","GNLY",10.2543181131913,"NKG7",9.17660550205936,"#FFA500"
"M40.29","CD8","GNLY",9.9022321732577,"NKG7",9.39666441110908,"#FFA500"
