"metacell","cell_type","top1_gene","top1_lfp","top2_gene","top2_lfp","color"
"M0.32","plasma","IGKC",13.4432674925475,"MZB1",7.95852277462131,"#0000FF"
"M1.75","MEP","PRSS57",6.85425100895166,"SOX4",5.57559130063913,"#DDA0DD"
"M2.57","masBasP","CLC",11.2788206472642,"MS4A3",7.5398840288609,"#7A378B"
"M3.65","MEP","RP11-620J15.3",5.80091920750835,"PRSS57",5.72246313510642,"#DDA0DD"
"M4.82","masBasP","TPSAB1",10.2845209945969,"TPSB2",10.0571374141016,"#7A378B"
"M5.44","MEP","SOX4",5.97727177164658,"RP11-620J15.3",5.81053189616378,"#DDA0DD"
"M6.03","masBasP","CXCL12",12.1117848688453,"APOE",10.5864339642128,"#7A378B"
"M7.37","monP1","CST3",9.87507349037661,"LYZ",8.71964505296071,"#6E8B3D"
"M8.41","plasma","IGKC",11.9210774278084,"MZB1",9.33673567312067,"#0000FF"
"M9.67","MK","PPBP",12.889349327989,"PF4",11.9786012171709,"#FFC0CB"
"M10.61","MK","PF4",10.2421842009498,"PPBP",10.1480355699804,"#FFC0CB"
"M11.90","doublets","PPBP",8.169580030762,"PF4",8.154985732092,"#000000"
"M12.59","MK","PDLIM1",6.3308230049929,"PF4",6.11712332766102,"#FFC0CB"
"M13.16","MK","PDLIM1",6.51699376290117,"ITGA2B",6.51663759793133,"#FFC0CB"
"M14.16","MK","PPBP",12.0665890349866,"PF4",11.9955012908385,"#FFC0CB"
"M15.52","doublets","PF4",7.91589870412409,"PPBP",7.75342803220465,"#000000"
"M16.55","MPP","SPP1",6.74872926048366,"CST3",6.63147108280758,"#838B8B"
"M17.85","T","IL32",3.66374791853501,"CD3D",3.43313291510884,"#FFFF00"
"M18.32","T","CD3D",3.14460292706513,"IL7R",2.46980163975624,"#FFFF00"
"M19.84","T","TRBC2",3.48183883386402,"TRAC",3.34305545996651,"#FFFF00"
"M20.87","T","IL7R",3.50058985333295,"TRAC",3.45957289888377,"#FFFF00"
"M21.07","T","CD3D",2.73451526353403,"IL7R",2.50805268843918,"#FFFF00"
"M22.93","T","CD3D",2.6728887127781,"IL7R",2.3972988589073,"#FFFF00"
"M23.40","T","IL32",4.24370150007047,"CD3D",3.87424082545619,"#FFFF00"
"M24.64","T","IL7R",5.41961477962368,"IL32",4.19134997696331,"#FFFF00"
"M25.62","T","TRAC",4.17136726597603,"IL7R",3.6661826687022,"#FFFF00"
